date,description,amount,category
2024-07-01,PAGAMENTO RENDA,1500.00,rent
2024-07-05,NETFLIX,15.99,subscriptions
2024-07-10,PINGO DOCE,112.40,groceries
2024-07-15,FATURA EDP,85.20,utilities
2024-07-16,FATURA MEO,65.00,utilities
2024-07-22,UBER,14.50,transport
2024-07-28,MERCADONA,89.90,groceries
2024-08-01,PAGAMENTO RENDA,1500.00,rent
2024-08-04,A PADARIA PORTUGUESA,8.50,food_drink
2024-08-12,GALP ENERGIA,60.00,transport
2024-08-16,FATURA EDP,92.10,utilities
2024-08-16,FATURA MEO,65.00,utilities
2024-08-20,LIDL,75.30,groceries
2024-08-25,AMAZON,45.99,shopping
2024-09-01,PAGAMENTO RENDA,1500.00,rent
2024-09-05,NETFLIX,15.99,subscriptions
2024-09-09,FITNESS HUT,45.00,health
2024-09-14,UBER EATS,22.40,food_drink
2024-09-18,FATURA EDP,88.50,utilities
2024-09-18,FATURA MEO,65.00,utilities
2024-09-24,CONTINENTE,105.20,groceries
2024-10-01,PAGAMENTO RENDA,1500.00,rent
2024-10-06,SPOTIFY PREMIUM,9.99,subscriptions
2024-10-11,BOLT,11.20,transport
2024-10-15,FATURA EDP,95.00,utilities
2024-10-16,FATURA MEO,65.00,utilities
2024-10-21,FARMACIA DOS LUSIADAS,34.50,health
2024-10-29,MERCADONA,140.00,groceries
2024-11-01,PAGAMENTO RENDA,1500.00,rent
2024-11-04,NETFLIX,15.99,subscriptions
2024-11-10,IKEA,210.00,home
2024-11-16,FATURA EDP,105.40,utilities
2024-11-17,FATURA MEO,65.00,utilities
2024-11-23,PINGO DOCE,95.80,groceries
2024-11-28,UBER,16.80,transport
2024-12-01,PAGAMENTO RENDA,1500.00,rent
2024-12-05,AMAZON,120.50,shopping
2024-12-10,EL CORTE INGLES,250.00,shopping
2024-12-15,FATURA EDP,115.20,utilities
2024-12-16,FATURA MEO,65.00,utilities
2024-12-22,CONTINENTE,180.90,groceries
2024-12-28,TAP AIR PORTUGAL,150.00,travel
2025-01-02,PAGAMENTO RENDA,1500.00,rent
2025-01-05,NETFLIX,15.99,subscriptions
2025-01-12,FITNESS HUT,45.00,health
2025-01-16,FATURA EDP,120.10,utilities
2025-01-17,FATURA MEO,65.00,utilities
2025-01-20,PINGO DOCE,85.40,groceries
2025-01-26,GALP ENERGIA,65.00,transport
2025-02-01,PAGAMENTO RENDA,1500.00,rent
2025-02-08,H3 HAMBURGUERIA,14.50,food_drink
2025-02-14,JANTAR DIA DOS NAMORADOS,160.00,food_drink
2025-02-16,FATURA EDP,110.50,utilities
2025-02-17,FATURA MEO,65.00,utilities
2025-02-22,MERCADONA,115.20,groceries
2025-03-01,PAGAMENTO RENDA,1500.00,rent
2025-03-05,NETFLIX,15.99,subscriptions
2025-03-10,LEROY MERLIN,85.00,home
2025-03-15,FATURA EDP,95.40,utilities
2025-03-16,FATURA MEO,65.00,utilities
2025-03-21,LIDL,78.90,groceries
2025-03-27,UBER,12.40,transport
2025-04-01,PAGAMENTO RENDA,1500.00,rent
2025-04-07,SPOTIFY PREMIUM,9.99,subscriptions
2025-04-12,WELLS,25.50,health
2025-04-16,FATURA EDP,88.20,utilities
2025-04-17,FATURA MEO,65.00,utilities
2025-04-22,CONTINENTE,92.10,groceries
2025-05-01,PAGAMENTO RENDA,1500.00,rent
2025-05-06,NETFLIX,15.99,subscriptions
2025-05-11,GALP ENERGIA,60.00,transport
2025-05-16,FATURA EDP,82.50,utilities
2025-05-17,FATURA MEO,65.00,utilities
2025-05-24,PINGO DOCE,105.30,groceries
2025-06-01,PAGAMENTO RENDA,1500.00,rent
2025-06-08,A PADARIA PORTUGUESA,9.20,food_drink
2025-06-14,UBER EATS,28.50,food_drink
2025-06-18,FATURA EDP,90.10,utilities
2025-06-19,FATURA MEO,65.00,utilities
2025-06-25,MERCADONA,135.00,groceries
2025-07-01,PAGAMENTO RENDA,1500.00,rent
2025-07-05,NETFLIX,15.99,subscriptions
2025-07-12,TAP AIR PORTUGAL,280.00,travel
2025-07-16,FATURA EDP,95.50,utilities
2025-07-17,FATURA MEO,65.00,utilities
2025-07-22,PESTANA HOTELS,350.00,travel
2025-07-28,CONTINENTE,85.20,groceries
2025-08-01,PAGAMENTO RENDA,1500.00,rent
2025-08-06,UBER,18.50,transport
2025-08-11,FARMACIA DOS LUSIADAS,42.00,health
2025-08-16,FATURA EDP,102.30,utilities
2025-08-17,FATURA MEO,65.00,utilities
2025-08-25,PINGO DOCE,110.80,groceries
2025-09-01,PAGAMENTO RENDA,1500.00,rent
2025-09-05,NETFLIX,15.99,subscriptions
2025-09-10,FITNESS HUT,45.00,health
2025-09-15,FATURA EDP,92.40,utilities
2025-09-16,FATURA MEO,65.00,utilities
2025-09-22,MERCADONA,125.60,groceries
2025-10-01,PAGAMENTO RENDA,1500.00,rent
2025-10-07,SPOTIFY PREMIUM,9.99,subscriptions
2025-10-12,GALP ENERGIA,62.50,transport
2025-10-16,FATURA EDP,88.90,utilities
2025-10-17,FATURA MEO,65.00,utilities
2025-10-24,LIDL,84.30,groceries
2025-11-01,PAGAMENTO RENDA,1500.00,rent
2025-11-05,NETFLIX,15.99,subscriptions
2025-11-12,AMAZON,55.00,shopping
2025-11-17,FATURA EDP,105.20,utilities
2025-11-18,FATURA MEO,65.00,utilities
2025-11-26,CONTINENTE,115.40,groceries
2025-12-01,PAGAMENTO RENDA,1500.00,rent
2025-12-08,EL CORTE INGLES,180.00,shopping
2025-12-14,UBER EATS,32.50,food_drink
2025-12-18,FATURA EDP,118.50,utilities
2025-12-19,FATURA MEO,65.00,utilities
2025-12-23,MERCADONA,195.20,groceries
2026-01-02,PAGAMENTO RENDA,1500.00,rent
